guess,correct,seen,user_id,time_created
0,0,0,f1384754171255ab8e7ed81986701d7f,2020-04-30 20:35:25
0,1,1,f1384754171255ab8e7ed81986701d7f,2020-04-30 20:35:36
1,1,2,f1384754171255ab8e7ed81986701d7f,2020-04-30 20:35:46
1,0,3,f1384754171255ab8e7ed81986701d7f,2020-04-30 20:36:00
1,1,4,f1384754171255ab8e7ed81986701d7f,2020-04-30 20:36:17
0,1,5,f1384754171255ab8e7ed81986701d7f,2020-04-30 20:36:26
1,1,6,f1384754171255ab8e7ed81986701d7f,2020-04-30 20:36:35
0,1,7,f1384754171255ab8e7ed81986701d7f,2020-04-30 20:36:43
0,1,8,f1384754171255ab8e7ed81986701d7f,2020-04-30 20:36:53
0,0,0,d80265c5f7be26b471cc6a26ebe790d3,2020-04-30 21:08:33
1,0,0,6787755cca3377a3bf1f26face11105b,2020-04-30 21:15:17
0,1,1,6787755cca3377a3bf1f26face11105b,2020-04-30 21:16:53
0,1,2,6787755cca3377a3bf1f26face11105b,2020-04-30 21:17:13
0,1,0,6b62faab2d528b025ab2fe2c5665ab5b,2020-05-01 00:00:21
0,0,1,6b62faab2d528b025ab2fe2c5665ab5b,2020-05-01 00:01:40
0,1,2,6b62faab2d528b025ab2fe2c5665ab5b,2020-05-01 00:02:25
0,0,0,7d69f8de20ca3f38bb458231b1c65414,2020-05-01 00:10:40
1,0,1,7d69f8de20ca3f38bb458231b1c65414,2020-05-01 00:11:06
1,1,2,7d69f8de20ca3f38bb458231b1c65414,2020-05-01 00:11:58
1,1,0,e48c8107a61c43b483b7e3a85852f981,2020-05-01 00:23:50
1,1,1,e48c8107a61c43b483b7e3a85852f981,2020-05-01 00:25:24
0,0,2,e48c8107a61c43b483b7e3a85852f981,2020-05-01 00:26:45
1,0,3,e48c8107a61c43b483b7e3a85852f981,2020-05-01 00:28:26
1,1,4,e48c8107a61c43b483b7e3a85852f981,2020-05-01 00:29:37
0,0,0,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:35:59
1,1,1,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:37:00
1,1,2,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:38:04
0,1,3,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:38:33
0,0,4,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:40:00
0,0,5,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:41:30
1,1,6,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:41:47
1,1,7,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:42:38
0,1,8,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:43:09
1,0,9,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:44:05
0,1,10,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:45:13
0,1,11,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:49:05
0,0,12,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:51:35
0,1,13,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:52:04
1,1,14,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:52:32
1,1,15,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:53:41
0,1,16,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:53:59
0,1,17,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:55:52
0,1,0,4e1257d4b73f7d8dac6de1524dea62bd,2020-05-01 02:15:03
0,1,0,b46cd861600b732e4793d4a590191d39,2020-05-01 03:35:17
0,1,1,b46cd861600b732e4793d4a590191d39,2020-05-01 03:36:07
1,1,2,b46cd861600b732e4793d4a590191d39,2020-05-01 03:36:38
1,1,3,b46cd861600b732e4793d4a590191d39,2020-05-01 03:37:02
0,0,4,b46cd861600b732e4793d4a590191d39,2020-05-01 03:38:29
1,1,5,b46cd861600b732e4793d4a590191d39,2020-05-01 03:38:49
0,0,6,b46cd861600b732e4793d4a590191d39,2020-05-01 03:39:02
1,1,7,b46cd861600b732e4793d4a590191d39,2020-05-01 03:39:18
1,1,8,b46cd861600b732e4793d4a590191d39,2020-05-01 03:39:52
1,0,9,b46cd861600b732e4793d4a590191d39,2020-05-01 03:40:12
1,0,10,b46cd861600b732e4793d4a590191d39,2020-05-01 03:41:32
1,1,0,2519be04ebf1c2290e45ec18f7068d8b,2020-05-01 04:54:02
0,1,0,34dc025451ba487dcb15eeba51a5a1ef,2020-05-01 05:25:50
1,1,1,34dc025451ba487dcb15eeba51a5a1ef,2020-05-01 05:26:27
1,1,2,34dc025451ba487dcb15eeba51a5a1ef,2020-05-01 05:27:00
0,1,3,34dc025451ba487dcb15eeba51a5a1ef,2020-05-01 05:27:26
1,0,4,34dc025451ba487dcb15eeba51a5a1ef,2020-05-01 05:28:06
1,1,0,78eeab7777077c50b786465c5f7cbae4,2020-05-01 05:31:26
0,1,1,78eeab7777077c50b786465c5f7cbae4,2020-05-01 05:31:45
0,1,2,78eeab7777077c50b786465c5f7cbae4,2020-05-01 05:32:06
1,0,3,78eeab7777077c50b786465c5f7cbae4,2020-05-01 05:32:25
1,1,4,78eeab7777077c50b786465c5f7cbae4,2020-05-01 05:33:07
0,1,5,78eeab7777077c50b786465c5f7cbae4,2020-05-01 05:33:37
0,1,6,78eeab7777077c50b786465c5f7cbae4,2020-05-01 05:34:18
1,1,7,78eeab7777077c50b786465c5f7cbae4,2020-05-01 05:34:40
0,1,8,78eeab7777077c50b786465c5f7cbae4,2020-05-01 05:35:15
1,1,9,78eeab7777077c50b786465c5f7cbae4,2020-05-01 05:35:42
1,0,0,d278e5db4a725ad6d2df2f10cb1c311b,2020-05-01 10:56:10
0,1,1,d278e5db4a725ad6d2df2f10cb1c311b,2020-05-01 10:56:25
1,1,0,a396297affd5234a06401c103114db80,2020-05-01 10:57:27
1,0,1,a396297affd5234a06401c103114db80,2020-05-01 10:58:31
0,1,0,717bd0cda0e1e89beb58929b6275f093,2020-05-01 11:37:14
0,1,1,717bd0cda0e1e89beb58929b6275f093,2020-05-01 11:37:50
1,1,2,717bd0cda0e1e89beb58929b6275f093,2020-05-01 11:38:47
1,0,0,1c902fb0a1bee958bef17680eb824392,2020-05-01 11:43:10
1,0,1,1c902fb0a1bee958bef17680eb824392,2020-05-01 11:43:35
0,1,2,1c902fb0a1bee958bef17680eb824392,2020-05-01 11:43:52
1,1,3,1c902fb0a1bee958bef17680eb824392,2020-05-01 11:44:14
0,1,4,1c902fb0a1bee958bef17680eb824392,2020-05-01 11:44:30
0,1,5,1c902fb0a1bee958bef17680eb824392,2020-05-01 11:44:38
1,1,0,108d23e0fc4424a24de06f6ddb27439b,2020-05-01 14:22:36
1,1,1,108d23e0fc4424a24de06f6ddb27439b,2020-05-01 14:23:18
0,1,2,108d23e0fc4424a24de06f6ddb27439b,2020-05-01 14:23:44
1,1,3,108d23e0fc4424a24de06f6ddb27439b,2020-05-01 14:24:12
0,1,4,108d23e0fc4424a24de06f6ddb27439b,2020-05-01 14:24:52
1,1,5,108d23e0fc4424a24de06f6ddb27439b,2020-05-01 14:25:18
1,1,6,108d23e0fc4424a24de06f6ddb27439b,2020-05-01 14:25:55
0,1,0,e9f6678b321dedf998be01a4250d4ecb,2020-05-01 14:26:13
1,1,7,108d23e0fc4424a24de06f6ddb27439b,2020-05-01 14:26:26
